ID;Categoría ;Autor;Editorial;Título ;Leído ;Páginas ;Edición ;Trastero
1;Fantasía épìca;Andrzej Sapkowski;Alamut;La espada del destino;2020;287;Tapa dura;
2;Fantasía bIépìca;Brandon Sanderson;Nova;Sombras de identidad (Nacidos de la bruma);2020;438;Tapa dura;
3;Ciencia Ficción;Frank Herbert;Debolsillo;Dune;2020;780;Tapa blanda;
4;Fantasía épìca;Simon Hawke;Timun Mas;La tribu de uno;2020;727;Tapa dura;
5;Ciancia Ficción;Orson Scott Card;Nova;Hijos de la mente;2020;438;Tapa blanda;
6;Fantasía épìca;Andrzej Sapkowski;Bibliópolis fantástica;La sangre de los elfos;2020;253;Tapa blanda;
7;Narrativa;Carlos Ruiz Zafón;Círculo de lectores;La sombra del viento;2020;445;Tapa dura;
8;Fantasía épìca;Brandon Sanderson;Nova;Aleación de ley;2020;356;Tapa dura;
9;Ciencia Ficción;Jon Vendon;Amazon;El visitante;2020;265;Tapa blanda;
10;Fantasía épìca;Margaret Weis- Tracy Hickman;Timun Mas;El ocaso de los dragones;2020;703;Tapa dura;
11;Ciancia Ficción;Orson Scott Card;Nova;La voz de los muertos;2020;527;Tapa blanda;
12;Ciancia Ficción;Orson Scott Card;Minotauro;Pathfinder;2020;506;Tapa blanda;
13;Fantasía épìca;George R. R. Martin;Gigamesh;El caballero de los siete reinos;2020;398;Tapa blanda;
14;Fantasía épìca;Brandon Sanderson;Nova;El héroe de las eras;2020;753;Tapa dura;
15;Ciencia Ficción;Manu Franco - Mauro Civera Ro;Amazon;Madre del vacío (Invade Me);2020;554;Tapa blanda;
16;Fantasía épìca;Robert Jordan;Timun Mas;La llaga (La rueda del tiempo);2020;465;Tapa dura;
17;Ciancia Ficción;Orson Scott Card;Nova;Ender el xenocida;2020;654;Tapa blanda;
18;Fantasía épìca;Andrzej Sapkowski;Alamut;Tiempo de odio;2020;272;Tapa blanda;
19;Fantasía épìca;George R. R. Martin;Gigamesh;Juego de tronos (Canción de hielo y fuego);2020;798;Tapa blanda;
20;Fantasía épìca;Brandon Sanderson;Nova;Juramentada;2020;1401;Tapa dura;
21;Fantasía, terror;Víctor Sellés;Obscura editorial;Lengua de pájaros;2020;341;Tapa dura;
22;Fantasía épìca;Robert Jordan;Timun Mas;Desde dos ríos;2020;402;Tapa dura;
23;Ciancia Ficción;Orson Scott Card;Ediciones B;El juego de Ender;2020;373;Tapa dura;
24;Fantasía épìca;Andrzej Sapkowski;Bibliópolis fantástica;Bautismo de fuego;2020;256;Tapa blanda;
25;Misterio/Aventura;Dan Brown;Umbriel;El código Da Vinci;2020;557;Tapa blanda;
26;Fantasía épìca;Brandon Sanderson;Nova;Palabras radiantes;2020;1242;Tapa dura;
27;Ciencia Ficción;Ted Chiang;Narrativa sexto piso;Exhalación;2020;343;Tapa blanda;
28;Fantasía épìca;Ferrán Varela;El transbordador;El arcano y el jilguero;2020;374;Tapa blanda;
29;Thriller;David Lynn Golemon;La factoría de ideas;Evento;2020;415;Tapa blanda;
30;Fantasía épìca;Andrzej Sapkowski;Alamut;El último deseo;2020;254;Tapa dura;
31;Misterio;J. J. Benítez;Planeta;Mis Ovnis favoritos;2020;405;Tapa dura;
32;Fantasía épìca;Brandon Sanderson;Nova;El camino de los reyes;2020;1195;Tapa dura;
33;Fantasía épìca;R. A. Salvatore;Timun Mas;El elfo oscuro trilogía;2020;909;Tapa dura ;
34;Ciancia Ficción;Dan Simmons;Nova;El ascenso de Endymion;2020;653;Tapa blanda;
35;Narrativa;Juan Marsé;Círculo de lectores;Rabos de lagartija;2020;377;Tapa dura;
36;Fantasía épìca;Joe Abercrombie;Alianza editorial;La mejor venganza;2020;924;Tapa blanda;
37;Fantasía épìca;Joe Abercrombie;Debolsillo;Media guerra (El mar quebrado 3);2020;445;Tapa blanda;
38;Fantasía épìca;Joe Abercrombie;Debolsillo;Medio mundo (El mar quebrado 2);2020;444;Tapa blanda;
39;Fantasía épìca;Joe Abercrombie;Debolsillo;Medio rey (El mar quebrado 1);2020;378;Tapa blanda;
40;Fantasía épìca;Joe Abercrombie;Alianza editorial;El último argumento de los reyes (La primera ley 3);2020;897;Tapa dura;
41;Fantasía épìca;Joe Abercrombie;Alianza editorial;Antes de que los cuelguen (La primera ley 2);2020;771;Tapa dura;
42;Fantasía épìca;Joe Abercrombie;Alianza editorial;La voz de las espadas (La primera ley 1);2020;741;Tapa dura;
43;Ciencia Ficción;Ray Bradbury;Booket;Crónicas marcianas;2020;263;Tapa blanda;
44;Narrativa;Ros Beret;Ánimas del Huerva;No hay silencio como el de la nieve;2020;157;Tapa blanda;
45;Ciencia Ficción;Arthur C. Clarke;Pocket echada;Cita con Rama;2020;439;Tapa blanda;
46;Ciencia Ficción;Isaac Asimov;Debolsillo;Trilogía de la fundación;2020;895;Tapa blanda;
47;Narrativa;Haruki Murakami;Maxi Tusquets;After Dark;2020;248;Tapa blanda;
48;Narrativa;Torcuato Luca de Tena;Planeta;Los renglones torcidos de Dios;2020;439;Tapa blanda;
49;Literatura japonesa;Natsume Sóseki;Impedimenta;Soy un gato;2020;646;Tapa blanda;
50;Narrativa;Markus Zusah;Debolsillo;La ladrona de libros;2020;531;Tapa blanda;
51;Ciencia Ficción;George R. R. Martin;Gigamesh;Muerte de la luz;2020;304;Tapa blanda;
52;Terror;Sebastian Con;Almuzara;Bajo tierra;2020;140;Tapa dura;
53;Terror;Mado Martínez;Algaida;La santa;2020;378;Tapa dura;
54;Misterio/Aventura;Javier Sierra;Plaza y Janés;La cena secreta;2020;355;Tapa dura;
55;Misterio/Aventura;J. J. Benítez;Debolsillo;Jerusalén (caballo de Troya 1);2020;728;Tapa blanda;
56;Misterio/Aventura;J. J. Benítez;Booket;Masada (caballo de Troya 2);2020;734;Tapa blanda;
57;Terror;Anne Rice;Byblos;La hora de las brujas;2020;1258;Tapa blanda;
58;Terror;Anne Rice;Byblos;La voz del diablo;2020;894;Tapa blanda;
59;Terror;Anne Rice;Byblos;Taltos;2020;731;Tapa blanda;
60;Narrativa;Paul Auster;Anagrama;Invisible;2020;282;Tapa blanda;
61;Narrativa;Albert Espinosa;Grijalbo;Si tú me dices ven lo dejo todo… pero dime ven;2020;201;Tapa blanda;
62;Terror;Anne Rice;La trama;Memnoch El diablo;2020;398;Tapa dura;
63;Biografía;Anthony Bozza;Pop ediciones;Slash;2020;452;Tapa dura;
64;Clásicos;Victor Hugo;Debolsillo;Los miserables;2020;1739;Tapa blanda;
65;Distopía;Naomi Alderman;Rocabolsillo;El poder;2020;346;Tapa blanda;
66;Negra;J. D. Barker;Booket;El cuarto mono;2020;552;Tapa blanda;
67;Terror;Anne Rice;Debolsillo;El sirviente de los huesos;2020;443;Tapa blanda;
68;Fantasía épìca;Patrick Rothfuss;Debolsillo;El nombre del viento;2020;872;Tapa blanda;
69;Fantasía épìca;Patrick Rothfuss;Plaza y Janés;El temor de un hombre sabio;2020;1190;Tapa blanda;
70;Fantasía épìca;J. R. R. Tolkien;Círculo de lectores;El señor de los anillos;2020;889;Tapa dura;
71;Poesía;William Carlos Wiliams;Visor de poesía;Cien poemas;2020;140;Tapa blanda;
72;Terror;Stephen King;Círculo de lectores;Cementerio de animales;2020;355;Tapa dura;
73;Fantasía épìca;J. R. R. Tolkien;Booket;El hobbit;2020;310;Tapa dura;
74;Infantil;Roald Dahl;Alfaguara;Charlie y la fábrica de chocolate;2020;172;Tapa blanda;
75;Fantasía;Michael Ende;Círculo de lectores;La historia interminable;2020;400;Tapa dura;
76;Misterio;Edgar Allan Poe;Club internacional ;Historias extraordinarias;2020;205;Tapa dura;
77;Fantasía épìca;J. R. R. Tolkien;Círculo de lectores;El señor de los anillos;2020;1100;Tapa dura;
78;Terror;Bram ;Círculo de lectores;Drácula;2020;494;Tapa dura;
79;Clásico;Lev Tolstói;Grandes Clásicos;Guerra y paz;2020;1174;Tapa dura;
80;Clásico;J. D. Salinger;Alianza editorial;El guardián entre el centeno;2020;263;Tapa blanda;
81;Narrativa;Carlos Castaneda;Fondo de cultura;Las enseñanzas de Don Juan;2020;315;Tapa blanda;
82;Ciencia Ficción;Frank Herbert;Debolsillo;Hijos de Dune;2020;546;Tapa blanda;
83;Fantasía épìca;Brandon Sanderson;Nova;El ritmo de la guerra (El archivo de las tormentas 4);2020;1401;Tapa dura;
84;Ciencia Ficción;Frank Herbert;Debolsillo;Dios emperador de Dune;2020;561;Tapa blanda;
85;Narrativa;Ferrán Varela;El transbordador;La danza del gohut;2020;116;Tapa blanda;
86;Ciencia Ficción;Frank Herbert;Debolsillo;Herejes de Dune;2021;565;Tapa blanda;
87;Fantasía oscura;Ariadna Castellarnau;Ediciones Destino;La oscuridad es un lugar;2021;151;Tapa blanda;
88;Terror;Jason Arnopp;Obscura editorial;Los últimos días de Jack Sparks;2021;365;Tapa dura;
89;Ciencia Ficción;Ken Liu;Runas;Planetas invisibles (antología ciencia-ficción china);2021;381;Tapa blanda;
90;Ciencia Ficción;Ken Liu;Runas;Estrellas rotas (II antología de ciencia-ficción china);2021;474;Tapa blanda;
91;Ciencia Ficción;Cixin Liu;Nova;El problema de los tres cuerpos (Trilogía de los tres cuerpos);2021;408;Tapa blanda;
92;Fantasía épìca;Steven Erikson;Nova;Los jardines de la luna (Malaz: el libro de los caídos 1);2021;774;Tapa dura;
93;Ciencia Ficción;Cixin Liu;Nova;El bosque oscuro (trilogía de los tres cuerpos);2021;573;Tapa blanda;
94;Historia;Arturo Pérez Reverte;Debolsillo;Sidi;2021;369;Tapa blanda;
95;Fantasía épìca;Steven Erikson;Nova;Las puertas de la casa de la muerte (Malaz:el libro de los caídos 2);2021;877;Tapa dura;
96;Ciencia Ficción/Terror;Lluís Rueda;OrcinyPress;Lucificción;2021;203;Tapa blanda;
97;Ciencia Ficción;Cixin Liu;Nova;El fin de la muerte(Trilogía de los tres cuerpos);2021;734;Tapa blanda;
98;Thiller;Manel Loureiro;Planeta;La puerta;2021;345;Tapa dura;
99;Fantasía épìca;Brandon Sanderson;Nova;Esquirla del amanecer;2021;253;Tapa dura;
100;Fantasía épìca;Steven Erikson;Nova;Memorias de hielo (Malaz:el libro de los caídos 3);2021;1173;Tapa dura;
101;Fantasía épìca;Steven Erikson;Nova;La casa de cadenas (Malaz:el libro de los caídos 4);2022;940;Tapa dura;
102;Ciencia Ficción;M. G. Wheaton;Runas;Emily eterna;2022;308;Tapa blanda;
103;Terror;Catriona Ward;Runas;La casa al final de Needlees Street;2022;319;Tapa blanda;
104;Terror;Marc Pastor;Alianza editorial;La mala mujer;2022;283;Tapa blanda;
105;Negra;Javier Miró;Insólita;Ojalá tú nunca;2022;176;Tapa blanda;
106;Fantasía épica;Steven Erikson;Nova;Mareas de medianoche (Malaz: el libro de los caídos 5);2022;891;Tapa dura;
107;Ficción;Connie Willis;Nova;El libro del día del juicio final;2022;778;Tapa dura;
108;Ficción;Mariana Enríquez;Anagrama;Bajar es lo peor;2022;271;Tapa blanda;
109;Ficción;Nicola Lagiola;Literatura Random House;La ciudad de los vivos;2022;461;Tapa blanda;
110;Fantasía;K. J. Parker;Redkey;El demonio de Próspero;2022;98;Tapa blanda;
111;Fantasía épìca;Steven Erikson;Nova;Los cazahuesos (Malaz:el libro de los caídos 6);2022;1108;Tapa dura;
112;Fantasía épìca;Steven Erikson;Nova;La tempestad del segador (Malaz:el libro de los caídos 7);2022;1163;Tapa dura/Ebook;
113;Misterio;Lorena Franco;Booket;Los días que nos quedan;2022;428;Tapa blanda;
114;Terror;Jesús Cañadas;Obscura editorial;Dientes rojos;2022;365;Tapa blanda;
115;Terror;John Wyndham;Runas;El día de los Trífidos;2022;257;Tapa blanda;
116;Fantasía épìca;George R. R. Martin;Gigamesh;Festín de cuervos (Canción de hielo y fuego 4);2022;861;Tapa blanda;
117;Fantasía épìca;George R. R. Martin;Gigamesh;Tormenta de espadas 1 (Canción de hielo y fuego 3);2022;622;Tapa blanda;
118;Fantasía épìca;George R. R. Martin;Gigamesh;Tormenta de espadas 2 (Canción de hielo y fuego 3);2022;605;Tapa blanda;
119;Fantasía épica ;George R. R. Martin;Gigamesh;Choque de reyes (Canción de hielo y fuego 2);2022;922;Tapa blanda;
120;Fantasía épica;Steven Erikson;Nova;Doblan por los mastines (Malaz:el libro de los caídos 8);2022;1116;Tapa blanda;
121;Fantasía épica;Steven Erikson;Nova;Polvo de sueños (Malaz:el libro de los caídos 9);2022;1161;Tapa blanda;
122;Fantasía épica;Steven Erikson;Nova;El dios tullido (Malaz: el libro de los caídos 10);2022;1167;Tapa blanda;
